index,id,street,code_muni,process,stnd_addr_index,dataset,original_street_name,jaro_distance,housenumber
302843,147719288,Rua Luiz Dorival Cedran,3556206.0,2,0,street_data,Luiz Dorival Cedran,,
331735,153845353,Rua Luiz Bissoto,3556206.0,2,2,street_data,Luiz Bissoto,,
266270,133800769,Avenida Gessy Lever,3556206.0,2,3,street_data,Gessy Lever,,
303262,148012893,Rua Luiz Spiandorelli Neto,3556206.0,2,4,street_data,Luiz Spiandorelli Neto,,
544309,186213217,Rua Registro,1100023.0,2,6,street_data,Registro,,
544151,186199378,Rua Clara Nunes,1100023.0,2,7,street_data,Clara Nunes,,
676891,222326835,Rua Foz do Iguaçu,1100023.0,2,8,street_data,Foz do Iguaçu,,
0,186203047,Rua Parana,1100023.0,3,11,street_data,Paranavaí,0.9555555555555555,
536455,184213642,Rua Andorinhas,1100023.0,2,12,street_data,Andorinhas,,
544201,186203046,Rua Distrito Federal,1100023.0,2,13,street_data,Distrito Federal,,
544634,186213363,Rua Caracas,1100023.0,2,15,street_data,Caracas,,
0,107714619,Rua Roberto Ponick,4209102.0,3,17,street_data,Roberto Moser,0.9556776556776557,
111195,4630689351.0,Rua Madeira,4209102.0,1,18,points_data,Madeira,,294
72226,4560533269.0,Rua Dona Francisca,4209102.0,1,19,points_data,Dona Francisca,,5285
117125,4635795259.0,Rua Carlos Roberto Vilpert,4209102.0,1,20,points_data,Carlos Roberto Vilpert,,315
118618,4635799253.0,Rua Senador Rodrigo Lobo,4209102.0,1,21,points_data,Senador Rodrigo Lobo,,1734
71926,4560198304.0,Rua Itajubá,4209102.0,1,22,points_data,Itajubá,,980
0,4673351069.0,Rua Amábile Tebaldi,4209102.0,3,23,points_data,Amabile Tebaldi,0.9644444444444444,
161001,4670227387.0,Rua Irmã Maria da Graça Braz,4209102.0,1,24,points_data,Irmã Maria da Graça Braz,,313
880086,257174495,Rua Aldo de Oliveira,4209102.0,2,25,street_data,Aldo de Oliveira,,
108351,4627360697.0,Rua Olaria,4209102.0,1,26,points_data,Olaria,,352
136619,4640794894.0,Rua Londrina,4209102.0,1,27,points_data,Londrina,,708
895840,259806387,Rua Paranaguamirim,4209102.0,2,28,street_data,Paranaguamirim,,
876890,256796109,Rua Cygnus,4209102.0,2,31,street_data,Cygnus,,
109488,4630680839.0,Rua Doutor Lúcio Correia,4209102.0,1,32,points_data,Doutor Lúcio Correia,,42
84944,4567619831.0,Rua Ottokar Doerffel,4209102.0,1,33,points_data,Ottokar Doerffel,,1249
155674,4665338286.0,Rua Waldemiro José Borges,4209102.0,1,34,points_data,Waldemiro José Borges,,1219
85677,4567620879.0,Rua Saí,4209102.0,1,35,points_data,Saí,,257
133581,4640774058.0,Rua Benedito Novo,4209102.0,1,36,points_data,Benedito Novo,,541
557984,189871473,Avenida Antônio Ramos Alvim,4209102.0,2,37,street_data,Antônio Ramos Alvim,,
170087,95943917,Rua Waldemiro José Borges,4209102.0,2,38,street_data,Waldemiro José Borges,,
1085744,307480183,Rua Paraguassu,5201405.0,2,39,street_data,Paraguassu,,
0,380730555,Avenida Dom Fernando,5201405.0,3,40,street_data,D Fernando,0.9500000000000001,
404766,163144144,Rua Anápolis,5201405.0,2,42,street_data,Anápolis,,
106188,50214113,Rua Recife,5201405.0,2,43,street_data,Recife,,
415963,164956559,Rua Brasil,5201405.0,2,46,street_data,Brasil,,
1054702,298113061,Rua 09,5201405.0,2,47,street_data,09,,
0,163025957,Avenida V 01,5201405.0,3,48,street_data,V 001,0.9533333333333333,
1545787,453737417,Rua Maracanã,5201405.0,2,50,street_data,Maracanã,,
382643,159662565,Rua Caragoata,5201405.0,2,51,street_data,Caragoata,,
206882,115686583,Rua Tulipa,5201405.0,2,53,street_data,Tulipa,,
403719,163025901,Rua Germano Brugger,5201405.0,2,54,street_data,Germano Brugger,,
1393354,393390261,Rua Flor de Iuca,5201405.0,2,56,street_data,Flor de Iuca,,
382561,159662387,Rua Brunsviga,5201405.0,2,57,street_data,Brunsviga,,
415173,164848071,Rua Luciana,5201405.0,2,58,street_data,Luciana,,
0,164253536,Rua Guriatas,5201405.0,3,60,street_data,Guriatas,1.0,
687097,222800285,Rua Oscar Francisco de Lima,2602902.0,2,62,street_data,Oscar Francisco de Lima,,
687104,222801477,Rua Dez,2602902.0,2,66,street_data,Dez,,
687299,222804158,Rua Vinte e Nove,2602902.0,2,68,street_data,Vinte e Nove,,
287524,141650113,Rua do Dólar,5002704.0,2,71,street_data,do Dólar,,
340683,154797911,Rua Fernandes da Fonseca,5002704.0,2,72,street_data,Fernandes da Fonseca,,
0,153510879,Rua Pedro Labut,5002704.0,3,73,street_data,Pedro Labatut,0.9918414918414918,
328269,153481088,Rua Tupã,5002704.0,2,74,street_data,Tupã,,
329756,153630070,Rua Casa Branca,5002704.0,2,76,street_data,Casa Branca,,
338309,154536887,Rua Colombo,5002704.0,2,77,street_data,Colombo,,
335969,154239602,Rua Flória Britez de Eugênio,5002704.0,2,78,street_data,Flória Britez de Eugênio,,
0,157339815,Rua Dona Thomázia Rondon,5002704.0,3,79,street_data,Dona Thomazia Rondon,0.9940350877192983,
0,154722395,Rua Mãe Menininha do Gantois,5002704.0,3,81,street_data,Mãe Minininha do Cantois,0.957070707070707,
323983,152919831,Rua Marrey Júnior,5002704.0,2,82,street_data,Marrey Júnior,,
329427,153599898,Rua Rio Negro,5002704.0,2,83,street_data,Rio Negro,,
0,165892522,Rua Ranulfo Corrêa,5002704.0,3,84,street_data,Ranulfo Correa,1.0,
614348,203375493,Rua Xavantes,5002704.0,2,85,street_data,Xavantes,,
329367,153599755,Rua Itacaiunas,5002704.0,2,86,street_data,Itacaiunas,,
0,153462574,Rua Erondes Braga da Costa,5002704.0,3,87,street_data,Erondes Braga da Costa,1.0,
327100,153390935,Rua Presidente Rodrigues Alves,5002704.0,2,88,street_data,Presidente Rodrigues Alves,,
0,205859809,Rua Nair Belo,5002704.0,3,89,street_data,Nair Benigno,0.9555555555555555,
404214,163052912,Rua Brigadeiro Tobias,5002704.0,2,90,street_data,Brigadeiro Tobias,,
334687,154155843,Rua Alceu Amoroso Lima,5002704.0,2,91,street_data,Alceu Amoroso Lima,,
337876,154525443,Rua Jurandir Santana Nogueira,5002704.0,2,92,street_data,Jurandir Santana Nogueira,,
340789,154806412,Rua Santina Delfino Sanches,5002704.0,2,93,street_data,Santina Delfino Sanches,,
0,141650082,Avenida José Nogueira Vieira,5002704.0,3,94,street_data,José Nogueira Vieira,1.0,
294000,143293415,Rua Ricardo Franco,5002704.0,2,95,street_data,Ricardo Franco,,
335675,154229721,Rua Paulo Leite Soares,5002704.0,2,96,street_data,Paulo Leite Soares,,
328805,153513639,Rua Coroação de Pompéia,5002704.0,2,97,street_data,Coroação de Pompéia,,
122481,62279855,Rua Pedro de Toledo,5002704.0,2,98,street_data,Pedro de Toledo,,
149794,88444945,Avenida Marechal Deodoro,5002704.0,2,99,street_data,Marechal Deodoro,,
360403,157339826,Rua Pedro Manieri,5002704.0,2,100,street_data,Pedro Manieri,,
339461,154722392,Rua Bertha Lutz,5002704.0,2,101,street_data,Bertha Lutz,,
327500,153408990,Rua Edward Quirino Lacerda,5002704.0,2,102,street_data,Edward Quirino Lacerda,,
334012,154080529,Rua Henrique de Souza Filho,5002704.0,2,104,street_data,Henrique de Souza Filho,,
329464,153599997,Avenida Aracruz,5002704.0,2,106,street_data,Aracruz,,
345383,155228345,Rua Jales,5002704.0,2,107,street_data,Jales,,
287525,141650115,Rua Doutor Arthur Jorge,5002704.0,2,108,street_data,Doutor Arthur Jorge,,
339998,154783120,Rua Araioses,5002704.0,2,109,street_data,Araioses,,
742427,229298960,Avenida dos Pinheiros,3505708.0,2,110,street_data,dos Pinheiros,,
483794,173208030,Rua Antônio Fernandes Prado,3505708.0,2,111,street_data,Antônio Fernandes Prado,,
483815,173208054,Rua Fernando de Noronha,3505708.0,2,112,street_data,Fernando de Noronha,,
848505,251663278,Rua Oceano Pacífico,3505708.0,2,113,street_data,Oceano Pacífico,,
844500,250617798,Rua Marechal Hermes da Fonseca,3505708.0,2,114,street_data,Marechal Hermes da Fonseca,,
844479,250617774,Rua Werner Goldberg,3505708.0,2,115,street_data,Werner Goldberg,,
483139,173194469,Rua Joaquim Manoel Macedo,3505708.0,2,117,street_data,Joaquim Manoel Macedo,,
848245,250748232,Rua Pirituba,3505708.0,2,118,street_data,Pirituba,,
483081,173194387,Rua Gabriela,3505708.0,2,120,street_data,Gabriela,,
814244,243409568,Rua São Valeriano,2611606.0,2,121,street_data,São Valeriano,,
253960,5746159618.0,Avenida Conselheiro Aguiar,2611606.0,1,122,points_data,Conselheiro Aguiar,,3743
684820,222712035,Rua Doutor Benigno Jordão de Vasconcelos,2611606.0,2,123,street_data,Doutor Benigno Jordão de Vasconcelos,,
1081213,305934829,Rua Gomes Coutinho,2611606.0,2,124,street_data,Gomes Coutinho,,
247841,129483731,Avenida Boa Viagem,2611606.0,2,126,street_data,Boa Viagem,,
261679,132055216,Rua Coelho Leite,2611606.0,2,127,street_data,Coelho Leite,,
0,5745976370.0,Avenida Visconde de Jequitinhonha,2611606.0,3,128,points_data,Visconde de Jequitinhonha,1.0,
814229,243409550,Rua Córrego da Areia,2611606.0,2,129,street_data,Córrego da Areia,,
244339,5745580337.0,Estrada do Arraial,2611606.0,1,130,points_data,do Arraial,,3364
249077,5745802758.0,Rua Conselheiro Nabuco,2611606.0,1,131,points_data,Conselheiro Nabuco,,444
272652,5762159557.0,Rua São Miguel,2611606.0,1,132,points_data,São Miguel,,45
261632,132047560,Rua Treze de Maio,2611606.0,2,133,street_data,Treze de Maio,,
0,5762360037.0,Rua Professor Nelson Castro e Silva,2611606.0,3,134,points_data,Professor Francisco da Trindade,1.0,
1532569,447007959,Rua Lima Campos,2611606.0,2,135,street_data,Lima Campos,,
145409,86264126,Rua Joaquim Nabuco,2611606.0,2,136,street_data,Joaquim Nabuco,,
0,193826081,Primeira Travessa Mandacaru,2611606.0,3,139,street_data,Primeira Trav Da R Elza,1.0,
264596,132902029,Rua da Baixa Verde,2611606.0,2,140,street_data,da Baixa Verde,,
1687227,511296861,Rua Dracena,2611606.0,2,142,street_data,Dracena,,
271020,5762155925.0,Rua Holmes Fontes,2611606.0,1,143,points_data,Holmes Fontes,,82
1084572,307093387,Rua Principal,2611606.0,2,144,street_data,Principal,,
396937,161756336,Rua Anequim,2611606.0,2,145,street_data,Anequim,,
31586,30811121,Avenida Engenheiro Abdias de Carvalho,2611606.0,2,146,street_data,Engenheiro Abdias de Carvalho,,
313542,151115722,Rua Regência,2611606.0,2,147,street_data,Regência,,
263453,5760952765.0,Rua Arquiteto Fernando Almeida,2611606.0,1,148,points_data,Arquiteto Fernando Almeida,,281
617648,204067003,Rua Doutor José Marcionilo de Barros Lins,2611606.0,2,149,street_data,Doutor José Marcionilo de Barros Lins,,
0,5760956654.0,Rua Engenho Cangaca,2611606.0,3,150,points_data,Engenho Cangaça,1.0,
404861,163149900,Rua Rio Pardo,2611606.0,2,153,street_data,Rio Pardo,,
294456,5762578818.0,Rua Arsênio Calaça,2611606.0,1,154,points_data,Arsênio Calaça,,996
291669,142610072,Rua Bomba do Hemetério,2611606.0,2,155,street_data,Bomba do Hemetério,,
686824,222795573,Rua Engenho Carau,2611606.0,2,157,street_data,Engenho Carau,,
116804,54239689,Rua da Glória,2611606.0,2,158,street_data,da Glória,,
346805,155339542,Rua Amazonas,2611606.0,2,159,street_data,Amazonas,,
239264,128473196,Rua Jitó,2611606.0,2,160,street_data,Jitó,,
245108,5745595277.0,Rua Ida,2611606.0,1,161,points_data,Ida,,403
229350,5667458041.0,Rua Presidente Venceslau,2611606.0,1,162,points_data,Presidente Venceslau,,661
329015,153524422,Rua José Paes de Barros,2611606.0,2,163,street_data,José Paes de Barros,,
0,575167466,Rua Corrego da Prata,2611606.0,3,164,street_data,Corrego Da Gamilheira,0.9569749694749695,
0,4688753142.0,Rua Antônio Valdevino da Costa,2611606.0,3,165,points_data,Antônio Valdevino Costa,1.0,
687660,222819853,Rua Alto Brasil,2611606.0,2,166,street_data,Alto Brasil,,
397865,161831677,Rua Santa Leopoldina,2611606.0,2,167,street_data,Santa Leopoldina,,
397553,161797652,Rua Carapeba,2611606.0,2,168,street_data,Carapeba,,
267867,5760961981.0,Avenida Saldanha Marinho,2611606.0,1,169,points_data,Saldanha Marinho,,337
238847,128382359,Rua do Hospício,2611606.0,2,170,street_data,do Hospício,,
296758,144479340,Rua A,2611606.0,2,171,street_data,A,,
292588,5762462484.0,Rua Gomes Taborda,2611606.0,1,172,points_data,Gomes Taborda,,947
687436,222813927,Rua Clarice Lispector,2611606.0,2,173,street_data,Clarice Lispector,,
184541,102737993,Rua dos Navegantes,2611606.0,2,174,street_data,dos Navegantes,,
804245,241821119,Rua Guedes Pereira,2611606.0,2,175,street_data,Guedes Pereira,,
241266,5740126228.0,Rua São Caetano,2611606.0,1,176,points_data,São Caetano,,707
298614,5762603631.0,Rua Pirituba,2611606.0,1,177,points_data,Pirituba,,39
0,129728886,Rua Marques Amorim,2611606.0,3,180,street_data,Marques De Amorim,0.988235294117647,
0,377682941,Rua Quixabas,2611606.0,3,182,street_data,Quixabás,0.9666666666666667,
249060,129736826,Rua dos Prazeres,2611606.0,2,183,street_data,dos Prazeres,,
0,5740125399.0,Rua Professor Francisco da Trindade,2611606.0,3,185,points_data,Professor Henrique de Lucena,1.0,
249042,129736052,Rua da Conceição,2611606.0,2,186,street_data,da Conceição,,
429616,166896274,Rua João Uzêda Luna,2611606.0,2,187,street_data,João Uzêda Luna,,
246268,5745795942.0,Rua Luiz Cesário de Melo,2611606.0,1,188,points_data,Luiz Cesário de Melo,,447
249428,5745803334.0,Rua Jornalista Guerra de Holanda,2611606.0,1,189,points_data,Jornalista Guerra de Holanda,,158
567136,192029083,Rua José de Farias,2611606.0,2,190,street_data,José de Farias,,
0,5762460697.0,Rua São Cristovão,2611606.0,3,191,points_data,São Cristóvão,0.9907051282051282,
243386,5745556426.0,Rua Desembargador Edmundo Jordão,2611606.0,1,192,points_data,Desembargador Edmundo Jordão,,181
687834,222822255,Rua Douradinha,2611606.0,2,193,street_data,Douradinha,,
25639,29416307,Rua Setúbal,2611606.0,2,194,street_data,Setúbal,,
267255,134174443,Rua Manuel de Carvalho,2611606.0,2,195,street_data,Manuel de Carvalho,,
273540,136115634,Rua São Francisco de Assis,2611606.0,2,197,street_data,São Francisco de Assis,,
0,144182957,Rua Bataguassu,2611606.0,3,198,street_data,Bataguaçu,0.9688888888888889,
597259,200046222,Rua Felixlândia,2611606.0,2,199,street_data,Felixlândia,,
0,27362092,Rua Vereador Joao Soares de Araujo,2408102.0,3,202,street_data,Vereador Sebastião Malaquias,0.9682804232804233,
508098,177239213,Rua Pedras Grandes,2408102.0,2,203,street_data,Pedras Grandes,,
0,41227143,Carlos Gomes,2408102.0,3,204,street_data,Carlos Gomes,1.0,
67292,41129550,Rua João XXIII,2408102.0,2,205,street_data,João XXIII,,
72901,42433387,Rua Cineasta Glauber Rocha,2408102.0,2,206,street_data,Cineasta Glauber Rocha,,
73930,42807451,Avenida Interventor Mário Câmara,2408102.0,2,207,street_data,Interventor Mário Câmara,,
82980,45674876,Rua São Severino dos Ramos,2408102.0,2,208,street_data,São Severino dos Ramos,,
248865,129727239,Rua Dom Joaquim de Almeida,2408102.0,2,209,street_data,Dom Joaquim de Almeida,,
68514,41356116,Travessa São Francisco,2408102.0,2,211,street_data,São Francisco,,
0,376681539,Rua Ribeirão,2408102.0,3,212,street_data,Ribeiro,0.9833333333333334,
67754,41204743,Rua da Fé,2408102.0,2,213,street_data,da Fé,,
72356,42239305,Rua Marcos Falcão,2408102.0,2,215,street_data,Marcos Falcão,,
67904,41228435,Rua Militão Chaves,2408102.0,2,216,street_data,Militão Chaves,,
75347,43303625,Rua Visconde de Ouro Preto,2408102.0,2,217,street_data,Visconde de Ouro Preto,,
76302,43411322,Rua Coronel Joaquim Manoel,2408102.0,2,219,street_data,Coronel Joaquim Manoel,,
72366,42239440,Rua Francisco Varela,2408102.0,2,221,street_data,Francisco Varela,,
72766,42429731,Rua Baía de São Marcos,2408102.0,2,222,street_data,Baía de São Marcos,,
0,5652127343.0,Rua Raimundo Chaves,2408102.0,3,225,points_data,Raiumundo Chaves,0.9698611111111111,
74115,42815980,Rua do Fandango,2408102.0,2,227,street_data,do Fandango,,
12368,27561728,Rua Presidente Mascarenhas,2408102.0,2,228,street_data,Presidente Mascarenhas,,
248865,129727239,Rua Dom Joaquim de Almeida,2408102.0,2,229,street_data,Dom Joaquim de Almeida,,
625467,205448793,Rua Lacerdópolis,2408102.0,2,230,street_data,Lacerdópolis,,
77759,43896056,Rua Monte Celeste,2408102.0,2,231,street_data,Monte Celeste,,
367461,158247260,Avenida Getúlio de Moura,3302858.0,2,233,street_data,Getúlio de Moura,,
119876,60137571,Rua Hercília,3302858.0,2,234,street_data,Hercília,,
119910,60137778,Rua da Vila,3302858.0,2,235,street_data,da Vila,,
96489,48587084,Rua Donato,3302858.0,2,237,street_data,Donato,,
120125,60257307,Rua Soledade,3302858.0,2,238,street_data,Soledade,,
446570,169456915,Rua Casulo,3302858.0,2,239,street_data,Casulo,,
119878,60137585,Rua Astória,3302858.0,2,240,street_data,Astória,,
119162,59704549,Rua Celestino,3302858.0,2,241,street_data,Celestino,,
152396,88836289,Rua Marcílio Dias,4119905.0,2,242,street_data,Marcílio Dias,,
130030,70998604,Rua Guaritá,4119905.0,2,243,street_data,Guaritá,,
0,71187906,Rua Antônio Rodrigues Teixeira Júnior,4119905.0,3,245,street_data,Antônio Rodrigues Teixeira Júnior,1.0,
152449,88847156,Rua Olavo Bilac,4119905.0,2,246,street_data,Olavo Bilac,,
130257,71187891,Rua Carlos Chagas,4119905.0,2,247,street_data,Carlos Chagas,,
1646460,492958184,Rua Mário Cruziniani,4119905.0,2,248,street_data,Mário Cruziniani,,
317657,151805927,Rua Bento Ribeiro,4119905.0,2,249,street_data,Bento Ribeiro,,
0,304690662,Rua Agenor Machado Béje,4119905.0,3,250,street_data,Agenor Machado Beje,1.0,
129632,70931101,Rua Marechal Deodoro,4119905.0,2,251,street_data,Marechal Deodoro,,
130313,71189666,Rua Chile,4119905.0,2,252,street_data,Chile,,
1080258,305646645,Rua Édipo Ferreira dos Santos Ribas,4119905.0,2,253,street_data,Édipo Ferreira dos Santos Ribas,,
130370,71254513,Rua Lopes Trovão,4119905.0,2,254,street_data,Lopes Trovão,,
418417,165529056,Avenida Ernesto Vilela,4119905.0,2,255,street_data,Ernesto Vilela,,
1086192,307646464,Rua Canaã,4119905.0,2,256,street_data,Canaã,,
130126,71187709,Rua Afonso Celso,4119905.0,2,257,street_data,Afonso Celso,,
54234,37726637,Rua Corumbiara,3304557.0,2,258,street_data,Corumbiara,,
1785151,565170878,Avenida Automovel Clube,3304557.0,2,259,street_data,Automovel Clube,,
7141,20452509,Rua Araújo Porto Alegre,3304557.0,2,260,street_data,Araújo Porto Alegre,,
46259,33190522,Avenida Gilberto Amado,3304557.0,2,261,street_data,Gilberto Amado,,
426854,166500530,Rua Ari Leão,3304557.0,2,262,street_data,Ari Leão,,
61135,39519657,Rua Toriba,3304557.0,2,263,street_data,Toriba,,
127119,69489132,Rua Filgueiras Lima,3304557.0,2,264,street_data,Filgueiras Lima,,
0,172594981,Rua Clóvis Bevilaqua,3304557.0,3,265,street_data,Clóvis Beviláqua,1.0,
74771,43166537,Rua Ferreira Cantão,3304557.0,2,267,street_data,Ferreira Cantão,,
6056,14693213,Rua das Laranjeiras,3304557.0,2,268,street_data,das Laranjeiras,,
479783,173031657,Rua Soldado Valdemar dos Santos,3304557.0,2,269,street_data,Soldado Valdemar dos Santos,,
104989,49902475,Rua Pereira Nunes,3304557.0,2,270,street_data,Pereira Nunes,,
84683,45901510,Rua Araponga,3304557.0,2,271,street_data,Araponga,,
427135,166506724,Rua Netuno,3304557.0,2,272,street_data,Netuno,,
0,2774225573.0,Rua Engenheiro Habib Gebara,3304557.0,3,273,points_data,Engenheiro Moacir Barbosa,1.0,
70034,41890983,Rua Lins de Vasconcelos,3304557.0,2,274,street_data,Lins de Vasconcelos,,
0,297958683,Rua Dona Januária,3304557.0,3,275,street_data,Dona Januaria,0.9907051282051282,
0,704978396.0,Rua Ferreira Viana,3304557.0,3,276,points_data,Ferreira de Andrade,0.9757917521075417,
81418,44733206,Rua Olímpia Esteves,3304557.0,2,278,street_data,Olímpia Esteves,,
60180,39129362,Rua Gustavo Sampaio,3304557.0,2,279,street_data,Gustavo Sampaio,,
85643,46341094,Avenida Raul Barros Vieira,3304557.0,2,280,street_data,Raul Barros Vieira,,
0,116721965,Rua Jair Ferreira da Cunina,3304557.0,3,281,street_data,Jair Ferreira da Cunha,1.0,
100381,48979435,Rua Pereira Alves,3304557.0,2,282,street_data,Pereira Alves,,
59262,38968074,Rua Campos,3304557.0,2,283,street_data,Campos,,
0,261326453,Rua Itacorá,3304557.0,3,285,street_data,Itacora,0.9619047619047619,
34742,31371084,Estrada da Gávea,3304557.0,2,286,street_data,da Gávea,,
66903,40942139,Rua Triunfo,3304557.0,2,288,street_data,Triunfo,,
66776,40819785,Rua Conselheiro Otaviano,3304557.0,2,289,street_data,Conselheiro Otaviano,,
77438,43785049,Rua Dois,3304557.0,2,290,street_data,Dois,,
76406,43512921,Rua Falet,3304557.0,2,291,street_data,Falet,,
915145,263732404,Rua dos Bandeirantes,3304557.0,2,292,street_data,dos Bandeirantes,,
61504,39624053,Rua Andrade Figueira,3304557.0,2,293,street_data,Andrade Figueira,,
286346,140909548,Estrada Cruz das Almas,3304557.0,2,294,street_data,Cruz das Almas,,
286205,140874238,Rua Tenente Xavier,3304557.0,2,295,street_data,Tenente Xavier,,
85396,46246048,Rua Petrópolis,3304557.0,2,296,street_data,Petrópolis,,
59262,38968074,Rua Campos,3304557.0,2,297,street_data,Campos,,
26762,30061010,Rua Filinto de Almeida,3304557.0,2,298,street_data,Filinto de Almeida,,
96416,48579743,Rua Torres Sobrinho,3304557.0,2,299,street_data,Torres Sobrinho,,
69969,41885469,Rua Amorim,3304557.0,2,300,street_data,Amorim,,
2381,823947878.0,Rua General Sampaio,3304557.0,1,301,points_data,General Sampaio,,71
59200,38962074,Rua Japoara,3304557.0,2,302,street_data,Japoara,,
0,273637519,Rua Mário de Carvalho (NR),3304557.0,3,303,street_data,Mário de Sousa Martins,0.9698051948051949,
473331,172593443,Rua Araújo Pena,3304557.0,2,304,street_data,Araújo Pena,,
77372,43767103,Rua Aracoia,3304557.0,2,305,street_data,Aracoia,,
125481,67555063,Rua Visconde de Figueiredo,3304557.0,2,306,street_data,Visconde de Figueiredo,,
