stnd_type,stnd_logr,stnd_numero,logradouro,numero,codigo_do_municipio_no_bcbase,code_muni,stnd_addr_index
,,,Samoel Fragozo Coimbra,460,202142,3556206,1
Alameda,Basiléia,160,Basileia,160,202142,3556206,5
,,,Jk Salao Luiz,Sn,204515,1100023,9
,,,Setima Rua,1325,204515,1100023,10
,,,Setima Rua,3476,204515,1100023,14
,,,Benewalte,1135,205044,4209102,16
Rua,Arco Iris,806,Arco Iris,000806,205044,4209102,29
Rua,São Jorge,56,Sao Jorge,56,205044,4209102,30
,,,Adelia Q 3 L 5,,201462,5201405,41
Rua,13 E,Sn,13 E,Sn,201462,5201405,44
,,,H54,Sn,201462,5201405,45
,,,Anfibolio,,201462,5201405,49
,,,Dos Alamos,,201462,5201405,52
,,,X12,,201462,5201405,55
,,,V-008,,201462,5201405,59
,,,Trav Pires,24,201721,2602902,61
,,,Engenho Arariba De Baixa,,201721,2602902,63
Rua,67,26,67,26,201721,2602902,64
Rua,José Vicente de Lima,116,Jose Vicente De Lima,116,201721,2602902,65
Rua,Luiz Gomes da Silva,67,Luiz Gomes Da Silva,67,201721,2602902,67
Rua,da Mocidade,7,Mocidade,7,201721,2602902,69
Rua,Presidente Vargas,804,Presidente Vargas,804,201721,2602902,70
Rua,Biguá,85,Bigua,85,203954,5002704,75
Rua,Dois de Outubro,62,2 De Outubro,62,203954,5002704,80
Rua,Estatícia,645,Estaticia,645,203954,5002704,103
Rua,Iraides Paulino da Silva,425,Iraides Paulino Da Silva,425,203954,5002704,105
Rua,Doutor Fausto Dias Ferraz,22,Dr Fausto Dias De Farraz,22,202585,3505708,116
Alameda,Jagape,122,Jagape,122,202585,3505708,119
,,,Acenio Colaco,676,202982,2611606,125
,,,2 Trv Oscar Brandao,56,202982,2611606,137
,,,Vitoriano Palhares Ed Ipojuca Colonial,218,202982,2611606,138
Rua,Vereador Francisco de Paula Santana - Chico da Manola,3 A,Vereador Francisco De Paula Santana Ch,3 A,202982,2611606,141
,,,Joao Crisostimo Da Silva,32,202982,2611606,151
,,,Dos Pascadores,75,202982,2611606,152
,,,Vivisopolis,184,202982,2611606,156
,,,Lexuana N Roda De Fogo,000155,202982,2611606,178
,,,2 Dos Bancarios,42,202982,2611606,179
,,,Tabeliao Roma,95,202982,2611606,181
,,,27 De Abril,46,202982,2611606,184
Rua,Maruim,912,Maruim,912,202982,2611606,196
,,,2 Trav Da Rua Guaraci,3,202982,2611606,200
Rua,Oto Alencar,237,Oto Alencar,237,204681,2408102,201
Rua,Cônego Luiz Wanderley,181,Conego Luiz Wanderley,181,204681,2408102,210
Rua,Darcy Vargas,8,Darcy Vargas,8,204681,2408102,214
Rua,Tuiuti,270,Tuiuti,270,204681,2408102,218
Avenida,Bumba Meu Boi,218,Bumba Meu Boi,218,204681,2408102,220
,,,Amintas Barro No 3675 Apto 15,03675,204681,2408102,223
,,,Dos Portugueses Nossa Senhora D,0247,204681,2408102,224
Travessa,Lino Teixeira,3,Lino Teixeira,3,204681,2408102,226
,,,Pte Bandeira Vl Sao Francisco,604,204681,2408102,232
Rua,Amadeu Rodrigues Campos Fraga,111,Amadeu Rodrigues Campos Fraga,111,199819,3302858,236
Rua,Paulo Furtado Velasco,45,Paulo Furtado Velasco,45,201525,4119905,244
,,,Icarai 20,,205153,3304557,266
,,,Cam Boiadeiro,6,205153,3304557,277
,,,Sfgdsfngdnvd,333,205153,3304557,284
,,,Srv Sem Nome,12,205153,3304557,287
Rua,Amparo,37,Amparo,37,205153,3304557,311
,,,Rio De Janeiro (Comunid 48),45,205153,3304557,316
,,,Nova Macilio Dias,227,205153,3304557,324
Rua,Circular,23,Circular,23,205153,3304557,336
,,,Suburbana,1501,205153,3304557,337
,,,Etr Do Viera,116,205153,3304557,338
Rua,Servidao Leste,14,Servidao Leste,14,205153,3304557,340
,,,Quinze (Bc Constanca),24,205153,3304557,346
Rua,Gondola,120,Gandola,120,205153,3304557,348
Rua,Encanamento,241,Encanamento,241,205153,3304557,352
,,,Niton De Oliveira,50,205153,3304557,353
Travessa,Jarmute,13,Jarmute,13,205153,3304557,361
Rua,Laércio Rosa,10,Laercio Rosa,10,205153,3304557,373
Rua,Vítor Meireles,533,Victor Meireles,533,205153,3304557,396
,,,Marinho Rego B Travessa 11 Casa 4,,205153,3304557,403
,,,Cesario De Melo Bloco 07 Apt 204,11705,205153,3304557,406
Estrada,da Boiuna,250,Da Boiuna,250,205153,3304557,410
,,,Vicente Caneco Travessa Uniao,6,205153,3304557,412
,,,Ibua,517,205153,3304557,419
,,,Do Cotorno,26,205153,3304557,440
,,,Sao Clemente Bl 01 Ap 504,272,205153,3304557,454
Rua,Algodão,270,Algodao,270,205153,3304557,458
,,,Rua Luiz Goulart,,205153,3304557,462
,,,Cel Tamarindo Cx Postal 28019,1894,205153,3304557,463
Rua,Froes De Abreu,270 A,Froes De Abreu,270 A,205153,3304557,471
,,,Pirilampo - Curicica,249,205153,3304557,475
